,ID,building_age,heat_type,heat_cost,heat_temp,building_renov,income_detailed,income,heat_type_dummy
0,1069,5,1,1155,21,1,5,2,1
1,1070,5,1,2500,19,1,11,4,1
2,1073,3,4,50,20,2,1,2,0
3,1075,4,4,1500,19,1,7,3,0
4,1077,4,5,400,20,1,4,1,0
5,1078,3,1,800,23,1,5,3,1
6,1082,4,10,900,18,2,12,4,0
7,1083,4,4,1400,22,1,10,5,0
8,1084,2,4,3500,22,2,6,3,0
9,1086,3,7,660,21,3,10,5,0
10,1087,2,1,1000,21,3,4,2,1
11,1088,3,1,1200,0,2,3,2,1
12,1090,3,7,600,21,1,6,4,0
13,1091,6,1,500,0,2,5,3,1
14,1094,8,1,1808,19,2,10,5,1
15,1095,6,4,3000,19,2,11,4,0
16,1096,3,1,900,20,1,10,5,1
17,1097,2,1,1056,23,1,5,3,1
18,1103,2,4,2200,21,1,10,5,0
19,1104,3,7,321,0,3,4,2,0
20,1106,2,99,500,20,1,12,5,99
21,1109,4,4,1000,21,2,11,5,0
22,1110,4,7,905,23,1,6,3,0
23,1112,6,6,1100,0,1,13,5,0
24,1113,4,99,1000,20,2,5,2,99
25,1114,5,4,2401,22,1,7,3,0
26,1118,4,4,1500,25,2,12,5,0
27,1126,4,99,1000,0,3,5,2,99
28,1130,2,1,1650,22,1,6,3,1
29,1131,2,4,2500,22,1,1,2,0
30,1136,3,7,680,20,1,4,2,0
31,1137,1,1,60,22,2,7,3,1
32,1140,4,4,700,20,1,3,1,0
33,1141,4,1,900,20,1,7,3,1
34,1142,4,1,1200,12,2,3,1,1
35,1143,3,8,2000,22,1,5,3,0
36,1146,6,1,590,22,2,9,5,1
37,1148,4,7,0,0,2,5,2,0
38,1155,7,1,600,0,1,9,4,1
39,1156,8,1,1200,0,2,12,5,1
40,1157,1,4,2000,0,3,12,5,0
41,1160,2,1,2100,18,1,4,2,1
42,1161,1,1,900,20,1,3,1,1
43,1163,4,7,500,21,3,4,2,0
44,1165,2,1,1200,0,1,2,3,1
45,1170,2,1,1400,20,2,8,4,1
46,1171,5,1,1000,0,1,5,2,1
47,1172,4,8,1850,20,1,7,5,0
48,1173,3,1,1800,22,1,7,4,1
49,1177,4,8,2000,22,1,10,5,0
50,1179,3,1,8000,23,1,5,3,1
51,1181,6,1,900,21,1,7,3,1
52,1182,4,4,2000,21,2,11,5,0
53,1183,2,6,1300,22,1,10,5,0
54,1184,4,1,400,18,1,5,2,1
55,1185,1,1,120,0,2,3,1,1
56,1186,3,1,1500,22,2,9,3,1
57,1192,6,99,400,23,2,5,3,99
58,1195,3,1,552,20,1,11,5,1
59,1196,5,1,1200,20,2,6,3,1
60,1197,8,1,750,21,2,7,4,1
61,1198,5,99,1000,0,2,13,2,99
62,1199,2,1,1300,21,1,4,2,1
63,1200,1,1,1128,24,2,4,2,1
64,1202,5,1,996,24,1,5,2,1
65,1203,1,1,650,0,3,10,5,1
66,1204,2,1,85,20,2,5,4,1
67,1205,6,7,2000,22,2,7,4,0
68,1206,6,4,1200,21,2,12,5,0
69,1207,5,2,1300,22,2,5,2,0
70,1208,5,4,500,20,2,10,4,0
71,1220,4,1,1794,23,1,6,3,1
72,1221,2,1,500,0,1,6,3,1
73,1222,5,1,2000,21,1,11,5,1
74,1223,3,4,1500,18,1,7,4,0
75,1224,2,4,1000,0,1,5,2,0
76,1226,2,99,350,20,3,7,3,99
77,1228,2,7,300,24,1,10,4,0
78,1230,3,1,760,22,3,4,2,1
79,1231,1,1,2000,0,2,1,2,1
80,1232,4,10,200,19,1,4,1,0
81,1234,4,1,900,20,2,5,5,1
82,1235,3,7,2000,24,1,4,2,0
83,1236,2,1,2341,21,1,5,3,1
84,1238,4,1,2600,20,2,7,4,1
85,1242,3,7,600,20,2,6,3,0
86,1243,4,1,1700,21,1,12,5,1
87,1244,6,8,800,23,2,9,4,0
88,1245,3,9,1000,22,1,9,4,0
89,1246,4,1,48,20,2,13,2,1
90,1247,3,4,1000,25,2,1,1,0
91,1251,4,5,1200,21,2,13,2,0
92,1252,6,1,1100,20,2,12,5,1
93,1255,6,8,400,22,2,10,5,0
94,1256,4,1,1900,21,1,10,5,1
95,1257,4,1,1500,0,2,12,5,1
96,1260,5,3,0,0,1,5,3,0
97,1261,5,4,1300,0,2,4,1,0
98,1262,3,7,960,22,2,12,5,0
99,1263,4,7,600,22,2,9,4,0
100,1270,3,1,320,21,1,6,4,1
101,1275,3,7,2700,23,2,6,3,0
102,1277,1,5,3200,20,1,6,3,0
103,1278,4,1,1400,21,1,5,3,1
104,1279,5,1,1050,20,2,8,4,1
105,1280,3,1,600,20,1,6,3,1
106,1281,3,1,1200,21,1,9,4,1
107,1282,5,1,150,19,1,11,4,1
108,1283,3,1,3000,23,1,1,3,1
109,1284,3,1,900,19,3,13,2,1
110,1285,3,1,1000,0,2,5,2,1
111,1288,3,1,300,19,2,6,3,1
112,1291,4,1,500,22,3,9,4,1
113,1292,4,4,1500,21,2,12,5,0
114,1295,3,7,1000,20,1,4,2,0
115,1296,3,1,1810,21,2,13,5,1
116,1297,3,4,2000,22,1,6,3,0
117,1298,3,1,1000,21,1,6,4,1
118,1300,3,4,1485,23,1,4,1,0
119,1302,2,1,2100,20,1,8,4,1
120,1305,5,1,1000,19,1,12,5,1
121,1308,3,4,1500,23,1,5,2,0
122,1310,8,8,500,22,2,8,5,0
123,1311,4,4,2750,21,2,7,4,0
124,1312,4,4,300,16,1,1,3,0
125,1314,3,7,1500,20,1,6,3,0
126,1315,6,8,600,21,2,10,5,0
127,1320,4,1,100,0,2,5,2,1
128,1321,3,4,4800,0,2,1,4,0
129,1323,2,7,1400,23,1,4,2,0
130,1325,4,4,2100,22,1,5,2,0
131,1327,2,1,1500,22,2,5,2,1
132,1331,3,1,626,21,1,5,2,1
133,1332,3,1,3500,21,2,13,4,1
134,1335,8,6,600,0,2,4,2,0
135,1337,2,1,1300,21,2,5,2,1
136,1339,4,4,1500,21,2,6,3,0
137,1340,4,1,900,0,2,1,3,1
138,1341,3,1,800,22,2,10,5,1
139,1343,3,4,1000,22,1,12,5,0
140,1344,3,4,1200,22,1,5,3,0
141,1345,5,4,1500,20,2,8,5,0
142,1347,4,1,1000,20,2,10,5,1
143,1350,4,1,1720,22,1,5,2,1
144,1351,3,4,1157,20,2,8,4,0
145,1355,3,4,1000,20,1,9,4,0
146,1357,3,1,700,20,1,5,2,1
147,1358,4,1,780,20,1,11,3,1
148,1360,4,1,2800,22,1,12,5,1
149,1361,3,4,800,21,1,4,2,0
150,1365,6,1,2400,20,2,2,4,1
151,1366,2,99,700,21,2,9,5,99
152,1374,8,6,1111111111,21,2,5,3,0
153,1375,1,1,1500,20,2,4,1,1
154,1378,4,4,2500,21,2,4,2,0
155,1379,3,1,196,20,1,12,5,1
156,1380,1,4,750,23,1,12,5,0
157,1382,4,7,1300,21,1,7,4,0
158,1384,3,1,600,0,1,4,2,1
159,1385,3,7,300,20,1,10,5,0
160,1388,5,6,1200,23,1,10,4,0
161,1389,6,8,1000,22,2,13,3,0
162,1390,4,7,500,0,3,9,4,0
163,1391,8,6,1660,23,2,4,2,0
164,1393,4,1,1290,20,2,9,4,1
165,1394,2,1,1250,21,1,3,1,1
166,1402,1,1,4500,23,1,10,5,1
167,1403,3,4,2400,17,2,4,2,0
168,1405,3,1,1447,20,1,12,5,1
169,1407,1,4,1800,20,1,9,4,0
170,1408,3,7,600,21,3,7,3,0
